DEP045549,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.54,1.02,6.45,0.95,12.46,19.2,,,
#02,3.55,1.01,6.44,0.95,12.44,19.2,,,
#03,3.54,1.01,6.45,0.95,12.44,19.18,,,
Mean,3.55,1.01,6.45,0.95,12.45,19.19,DEP045549,Milk Donors-Raw,1/13/2026 8:31:02 AM
StdDev,0.006,0.003,0.007,0.001,0.014,0.014,,,
,,,,,,,,,
DEP045522,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,4.24,0.94,7.11,0.92,13.94,21.78,,,
#02,4.24,0.93,7.09,0.92,13.92,21.77,,,
#03,4.26,0.93,7.11,0.92,13.94,21.81,,,
Mean,4.25,0.93,7.1,0.92,13.93,21.79,DEP045522,Milk Donors-Raw,1/14/2026 8:22:25 AM
StdDev,0.008,0.001,0.009,0.001,0.012,0.025,,,
,,,,,,,,,
DEP045499,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.07,1.05,7.16,0.97,12.73,18.78,,,
#02,3.07,1.06,7.12,0.97,12.68,18.74,,,
#03,3.07,1.07,7.15,0.98,12.74,18.81,,,
Mean,3.07,1.06,7.14,0.97,12.72,18.78,DEP045499,Milk Donors-Raw,1/12/2026 8:23:44 AM
StdDev,0.004,0.008,0.019,0.004,0.029,0.036,,,
,,,,,,,,,
DEP045473,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.28,1.13,6.83,1,12.92,19.11,,,
#02,3.29,1.13,6.84,1,12.91,19.14,,,
#03,3.27,1.12,6.83,1,12.89,19.08,,,
Mean,3.28,1.13,6.83,1,12.91,19.11,DEP045473,Milk Donors-Raw,1/16/2026 8:15:37 AM
StdDev,0.007,0.002,0.004,0.001,0.011,0.027,,,
,,,,,,,,,
DEP045468,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.88,0.92,7.32,0.91,13.47,21,,,
#02,3.9,0.92,7.3,0.91,13.43,21.05,,,
#03,3.88,0.93,7.32,0.91,13.47,21.01,,,
Mean,3.89,0.92,7.31,0.91,13.46,21.02,DEP045468,Milk Donors-Raw,1/12/2026 8:37:36 AM
StdDev,0.016,0.002,0.014,0.001,0.02,0.024,,,
,,,,,,,,,
DEP045453,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.87,1.03,6.95,0.96,13.41,20.72,,,
#02,3.87,1.03,6.95,0.96,13.42,20.73,,,
#03,3.86,1.03,6.95,0.96,13.43,20.68,,,
Mean,3.87,1.03,6.95,0.96,13.42,20.71,DEP045453,Milk Donors-Raw,1/12/2026 8:18:06 AM
StdDev,0.01,0,0.004,0,0.008,0.025,,,
,,,,,,,,,
DEP045452,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.87,1.04,6.99,0.96,13.55,20.77,,,
