DEP045601,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,2.3,0.92,6.55,0.91,10.96,15.71,,,
#02,2.3,0.92,6.56,0.91,10.96,15.71,,,
#03,2.3,0.92,6.56,0.91,10.96,15.7,,,
Mean,2.3,0.92,6.56,0.91,10.96,15.71,DEP045601,Milk Donors-Raw,1/21/2026 8:28:19 AM
StdDev,0.004,0.001,0.004,0.001,0.001,0.008,,,
,,,,,,,,,
DEP045579,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.72,1.07,6.77,0.98,13.14,20.16,,,
#02,3.73,1.06,6.76,0.97,13.12,20.16,,,
#03,3.72,1.07,6.78,0.98,13.15,20.18,,,
Mean,3.73,1.07,6.77,0.98,13.13,20.17,DEP045579,Milk Donors-Raw,1/20/2026 8:11:12 AM
StdDev,0.003,0.004,0.009,0.002,0.014,0.009,,,
,,,,,,,,,
DEP045560,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.14,1.06,7.01,0.97,12.73,18.83,,,
#02,3.14,1.06,7.01,0.97,12.72,18.82,,,
#03,3.16,1.06,7.01,0.97,12.72,18.87,,,
Mean,3.15,1.06,7.01,0.97,12.72,18.84,DEP045560,Milk Donors-Raw,1/19/2026 8:33:06 AM
StdDev,0.009,0.002,0.001,0.001,0.002,0.024,,,
,,,,,,,,,
DEP045552,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,4,0.89,6.87,0.9,13.44,20.76,,,
#02,4.01,0.89,6.87,0.9,13.45,20.77,,,
#03,4.01,0.89,6.88,0.89,13.46,20.79,,,
Mean,4.01,0.89,6.88,0.9,13.45,20.77,DEP045552,Milk Donors-Raw,1/23/2026 8:31:21 AM
StdDev,0.004,0.002,0.008,0.001,0.008,0.017,,,
,,,,,,,,,
DEP045512,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.81,1.09,6.63,0.99,13.01,20.28,,,
#02,3.82,1.09,6.64,0.98,13.01,20.3,,,
#03,3.81,1.09,6.64,0.98,13.01,20.29,,,
Mean,3.81,1.09,6.64,0.99,13.01,20.29,DEP045512,Milk Donors-Raw,1/22/2026 8:39:39 AM
StdDev,0.002,0.002,0.005,0.001,0.002,0.008,,,
,,,,,,,,,
DEP045472,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.3,1.23,7.1,1.05,13.26,19.66,,,
#02,3.29,1.23,7.1,1.05,13.26,19.62,,,
#03,3.29,1.23,7.09,1.05,13.25,19.61,,,
Mean,3.29,1.23,7.1,1.05,13.26,19.63,DEP045472,Milk Donors-Raw,1/19/2026 8:30:33 AM
StdDev,0.007,0.002,0.004,0.001,0.01,0.023,,,
,,,,,,,,,
DEP045469,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
