DEP029305,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,2.65,1.1,6.96,0.99,12.4,17.46,,,
#02,2.65,1.1,6.97,0.99,12.41,17.47,,,
#03,2.65,1.1,7,0.99,12.45,17.51,,,
Mean,2.65,1.1,6.98,0.99,12.42,17.48,DEP029305,Milk Donors-Raw,1/23/2025 9:35:18 AM
StdDev,0.003,0.003,0.023,0.001,0.029,0.026,,,
,,,,,,,,,
DEP030088,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,4.57,1.01,7.04,0.95,14.44,22.75,,,
#02,4.57,1.01,7.07,0.95,14.48,22.79,,,
#03,4.56,1.01,7.06,0.95,14.47,22.73,,,
Mean,4.57,1.01,7.06,0.95,14.46,22.76,DEP030088,Milk Donors-Raw,1/23/2025 9:25:24 AM
StdDev,0.01,0.001,0.017,0,0.021,0.034,,,
,,,,,,,,,
DEP030139,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,6.79,1.18,6.89,1.03,17.13,29,,,
#02,6.8,1.18,6.91,1.03,17.18,29.04,,,
#03,6.8,1.18,6.91,1.03,17.19,29.07,,,
Mean,6.8,1.18,6.9,1.03,17.17,29.04,DEP030139,Milk Donors-Raw,1/27/2025 9:18:40 AM
StdDev,0.007,0.001,0.015,0,0.029,0.038,,,
,,,,,,,,,
DEP030720,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.44,1.03,7.25,0.96,13.35,19.89,,,
#02,3.42,1.04,7.29,0.96,13.4,19.89,,,
#03,3.44,1.04,7.28,0.96,13.4,19.93,,,
Mean,3.43,1.04,7.28,0.96,13.38,19.9,DEP030720,Milk Donors-Raw,1/20/2025 9:34:33 AM
StdDev,0.009,0.003,0.018,0.001,0.028,0.026,,,
,,,,,,,,,
DEP030844,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.27,0.87,7.29,0.89,12.89,19.18,,,
#02,3.26,0.88,7.32,0.89,12.94,19.22,,,
#03,3.27,0.87,7.31,0.89,12.92,19.22,,,
Mean,3.27,0.88,7.3,0.89,12.91,19.2,DEP030844,Milk Donors-Raw,1/20/2025 9:18:31 AM
StdDev,0.005,0.004,0.018,0.002,0.027,0.02,,,
,,,,,,,,,
DEP030846,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.78,1.15,7.31,1.01,14.17,21.09,,,
#02,3.78,1.16,7.32,1.02,14.19,21.13,,,
#03,3.78,1.15,7.3,1.01,14.15,21.1,,,
Mean,3.78,1.15,7.31,1.01,14.17,21.11,DEP030846,Milk Donors-Raw,1/24/2025 2:36:52 PM
StdDev,0.005,0.004,0.011,0.002,0.019,0.024,,,
,,,,,,,,,
DEP030884,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.08,0.89,7.24,0.89,12.76,18.62,,,
