DEP041036,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,4.24,1.07,7.14,0.98,14.25,22.06,,,
#02,4.25,1.08,7.17,0.98,14.29,22.12,,,
#03,4.25,1.08,7.18,0.98,14.3,22.12,,,
Mean,4.25,1.08,7.16,0.98,14.28,22.1,DEP041036,Milk Donors-Raw,8/1/2025 8:16:10 AM
StdDev,0.004,0.003,0.02,0.001,0.028,0.037,,,
,,,,,,,,,
DEP040955,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,1.37,1.03,7.11,0.96,10.76,13.96,,,
#02,1.37,1.03,7.11,0.96,10.75,13.95,,,
#03,1.36,1.03,7.12,0.96,10.77,13.97,,,
Mean,1.36,1.03,7.11,0.96,10.76,13.96,DEP040955,Milk Donors-Raw,8/1/2025 8:17:54 AM
StdDev,0.003,0.002,0.01,0.001,0.009,0.007,,,
,,,,,,,,,
DEP040933,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.49,1.23,7.06,1.05,13.39,20.14,,,
#02,3.5,1.22,7.06,1.05,13.39,20.14,,,
#03,3.5,1.23,7.07,1.05,13.41,20.17,,,
Mean,3.5,1.23,7.06,1.05,13.4,20.15,DEP040933,Milk Donors-Raw,7/31/2025 8:22:00 AM
StdDev,0.002,0.002,0.009,0.001,0.011,0.017,,,
,,,,,,,,,
DEP040767,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,4.27,0.91,6.98,0.9,13.76,21.65,,,
#02,4.27,0.91,6.99,0.9,13.77,21.67,,,
#03,4.27,0.91,6.99,0.91,13.78,21.68,,,
Mean,4.27,0.91,6.98,0.91,13.77,21.67,DEP040767,Milk Donors-Raw,7/30/2025 8:09:10 AM
StdDev,0.001,0.002,0.007,0.001,0.009,0.013,,,
,,,,,,,,,
DEP040687,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.74,0.93,7.16,0.91,13.71,20.43,,,
#02,3.73,0.93,7.16,0.91,13.71,20.43,,,
#03,3.73,0.93,7.17,0.91,13.72,20.43,,,
Mean,3.73,0.93,7.16,0.91,13.71,20.43,DEP040687,Milk Donors-Raw,8/1/2025 8:25:09 AM
StdDev,0.002,0.002,0.007,0.001,0.005,0.001,,,
,,,,,,,,,
DEP040686,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.61,0.96,7.24,0.93,13.56,20.23,,,
#02,3.61,0.95,7.26,0.93,13.57,20.25,,,
#03,3.62,0.95,7.23,0.92,13.54,20.24,,,
Mean,3.62,0.95,7.24,0.92,13.55,20.24,DEP040686,Milk Donors-Raw,7/30/2025 8:19:07 AM
StdDev,0.006,0.002,0.013,0.001,0.018,0.008,,,
,,,,,,,,,
DEP040670,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
