DEP040326,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,2.81,1.15,7.11,1.02,12.7,18.17,,,
#02,2.8,1.15,7.09,1.01,12.66,18.12,,,
#03,2.8,1.15,7.11,1.02,12.7,18.15,,,
Mean,2.8,1.15,7.1,1.01,12.69,18.15,DEP040326,Milk Donors-Raw,7/8/2025 8:53:20 AM
StdDev,0.003,0.003,0.012,0.001,0.021,0.022,,,
,,,,,,,,,
DEP040274,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.5,0.98,6.94,0.94,12.81,19.62,,,
#02,3.51,0.99,6.94,0.94,12.81,19.62,,,
#03,3.51,0.98,6.94,0.94,12.81,19.64,,,
Mean,3.51,0.98,6.94,0.94,12.81,19.63,DEP040274,Milk Donors-Raw,7/10/2025 3:42:41 PM
StdDev,0.003,0.001,0.002,0,0.003,0.009,,,
,,,,,,,,,
DEP040191,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,4.27,1.04,6.95,0.97,13.95,21.85,,,
#02,4.27,1.04,6.99,0.96,13.98,21.9,,,
#03,4.27,1.04,7.01,0.97,14.01,21.91,,,
Mean,4.27,1.04,6.98,0.96,13.98,21.88,DEP040191,Milk Donors-Raw,7/7/2025 9:43:07 AM
StdDev,0.004,0.003,0.026,0.001,0.033,0.032,,,
,,,,,,,,,
DEP040190,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.95,0.96,7.2,0.93,13.96,21.11,,,
#02,3.95,0.95,7.21,0.92,13.96,21.11,,,
#03,3.95,0.95,7.2,0.92,13.94,21.11,,,
Mean,3.95,0.95,7.2,0.93,13.95,21.11,DEP040190,Milk Donors-Raw,7/8/2025 8:47:15 AM
StdDev,0.003,0.006,0.003,0.003,0.01,0.003,,,
,,,,,,,,,
DEP039988,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,3.16,1.06,6.96,0.97,12.64,18.82,,,
#02,3.16,1.06,6.98,0.97,12.67,18.84,,,
#03,3.17,1.06,6.99,0.97,12.69,18.87,,,
Mean,3.16,1.06,6.98,0.97,12.67,18.84,DEP039988,Milk Donors-Raw,7/7/2025 9:58:57 AM
StdDev,0.003,0.002,0.017,0.001,0.025,0.026,,,
,,,,,,,,,
DEP039893,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
#01,2.83,1.09,7.11,0.99,12.56,18.12,,,
#02,2.82,1.08,7.1,0.98,12.53,18.08,,,
#03,2.83,1.08,7.1,0.98,12.53,18.11,,,
Mean,2.83,1.09,7.11,0.98,12.54,18.1,DEP039893,Milk Donors-Raw,7/8/2025 9:17:24 AM
StdDev,0.005,0.003,0.005,0.001,0.015,0.022,,,
,,,,,,,,,
DEP039782,,Milk Donors-Raw,,,,,,,
,Fat,Protein,Lactose,Nutr Pro,Solids,Cal,,,
Replicate,g/100g,g/100g,g/100g,g/100g,g/100g,-,,,
