Donor/Milk Bank,Type,Total Received Volume (mL),Donor/Milk Bank,Follow Up Dates
DON013650 ,DONOR,"53,750.00",9,10/5/2025
DON014010 ,DONOR,"4,660.00",1,
DON013903 ,DONOR,"14,560.00",3,11/5/2025
DON012836 ,DONOR,"84,000.00",14,
DON013912 ,DONOR,"18,000.00",3,2/4/2026
DON013443 ,DONOR,"3,020.00",1,8/25/2025
DON014944 ,DONOR,"16,610.00",3,6/24/2026
DON014876 ,DONOR,"5,170.00",1,5/27/2026
DON012368 ,DONOR,"13,550.00",3,3/28/2025
DON014413 ,DONOR,"212,200.00",34,7/15/2026
DON013133 ,DONOR,"5,080.00",1,8/20/2025
DON015036 ,DONOR,"4,160.00",1,6/10/2026
DON014297 ,DONOR,"8,540.00",2,2/11/2026
DON012727 ,DONOR,"3,360.00",2,6/5/2025
DON012859 ,DONOR,"10,150.00",3,7/12/2025
DON014449 ,DONOR,"3,610.00",1,7/29/2026
DON013476 ,DONOR,"12,220.00",2,
DON012831 ,DONOR,"6,110.00",2,4/25/2025
DON013622 ,DONOR,"13,890.00",2,9/18/2025
DON014857 ,DONOR,"4,410.00",1,
DON014203 ,DONOR,"10,170.00",2,5/20/2026
DON013366 ,DONOR,"14,610.00",4,
DON015092 ,DONOR,120,1,
DON013005 ,DONOR,"65,840.00",12,8/9/2025
DON014878 ,DONOR,"7,350.00",1,5/27/2026
DON013601 ,DONOR,"3,690.00",1,12/3/2025
DON012569 ,DONOR,"16,030.00",4,
DON013055 ,DONOR,"4,060.00",2,6/19/2025
DON013398 ,DONOR,"24,940.00",4,
DON013463 ,DONOR,"17,230.00",3,9/18/2025
DON013097 ,DONOR,"193,880.00",38,
DON012730 ,DONOR,"87,440.00",15,3/18/2026
DON014276 ,DONOR,"6,480.00",2,2/18/2026
DON012744 ,DONOR,"4,480.00",2,
DON014830 ,DONOR,"15,230.00",3,5/6/2026
DON013889 ,DONOR,"8,900.00",2,
DON014452 ,DONOR,"9,090.00",2,3/4/2026
DON013516 ,DONOR,"4,770.00",1,9/8/2025
DON013520 ,DONOR,"8,720.00",3,
DON013895 ,DONOR,"3,070.00",1,
DON015069 ,DONOR,"7,050.00",1,6/24/2026
DON013535 ,DONOR,"6,830.00",3,11/6/2025
DON014487 ,DONOR,"7,650.00",1,3/25/2026
DON013616 ,DONOR,"47,530.00",8,1/24/2026
DON009949 ,DONOR,"8,460.00",2,
DON013925 ,DONOR,"3,400.00",1,11/27/2025
DON010778 ,DONOR,60,1,10/21/2024
DON013120 ,DONOR,"19,870.00",4,
DON014175 ,DONOR,"6,690.00",2,12/31/2025
DON013948 ,DONOR,"4,660.00",1,11/21/2025
DON014049 ,DONOR,"18,320.00",3,3/11/2026
DON013441 ,DONOR,"3,390.00",1,10/15/2025
DON012798 ,DONOR,"3,030.00",2,
DON014799 ,DONOR,"8,360.00",2,6/24/2026
DON014616 ,DONOR,"21,120.00",4,4/15/2026
DON012190 ,DONOR,"7,530.00",2,2/16/2025
DON013026 ,DONOR,"2,790.00",2,7/19/2025
DON012533 ,DONOR,"7,180.00",3,
DON015008 ,DONOR,"15,850.00",3,7/22/2026
DON012116 ,DONOR,"6,770.00",1,3/29/2025
DON015031 ,DONOR,"5,580.00",1,7/15/2026
DON013597 ,DONOR,"76,020.00",15,3/11/2026
DON012875 ,DONOR,"16,110.00",4,
DON013673 ,DONOR,"19,740.00",4,1/14/2026
DON012839 ,DONOR,"94,270.00",18,10/15/2025
DON012421 ,DONOR,"18,200.00",3,3/29/2025
DON012529 ,DONOR,"6,860.00",2,2/28/2025
DON013671 ,DONOR,"99,400.00",18,6/3/2026
DON013456 ,DONOR,"5,510.00",1,11/5/2025
DON012973 ,DONOR,"11,670.00",3,7/4/2025
DON013460 ,DONOR,"3,380.00",2,9/1/2025
DON015098 ,DONOR,"5,970.00",1,7/22/2026
DON014307 ,DONOR,"7,990.00",2,3/11/2026
DON013071 ,DONOR,"58,000.00",10,2/25/2026
DON012637 ,DONOR,"9,220.00",5,3/10/2025
DON014695 ,DONOR,"76,440.00",15,7/15/2026
DON011962 ,DONOR,"5,290.00",1,
DON012986 ,DONOR,"28,000.00",9,11/3/2025
DON013173 ,DONOR,"9,790.00",2,7/4/2025
DON014659 ,DONOR,"17,930.00",3,7/29/2026
DON012325 ,DONOR,"4,410.00",1,4/28/2025
DON015244 ,DONOR,"3,510.00",1,7/29/2026
DON014184 ,DONOR,"14,250.00",3,
DON015034 ,DONOR,"12,160.00",3,6/24/2026
DON015062 ,DONOR,"8,420.00",2,7/1/2026
DON013279 ,DONOR,"39,440.00",7,
DON012625 ,DONOR,"58,630.00",11,8/13/2025
DON012674 ,DONOR,"52,520.00",10,5/10/2025
DON013834 ,DONOR,"119,280.00",24,4/29/2026
DON013025 ,DONOR,"9,350.00",3,
DON014298 ,DONOR,"10,900.00",2,
DON012877 ,DONOR,"18,160.00",6,5/17/2025
DON013515 ,DONOR,"7,600.00",2,
DON014504 ,DONOR,"11,560.00",2,3/4/2026
DON014260 ,DONOR,"3,030.00",1,2/4/2026
DON013202 ,DONOR,"10,510.00",3,
DON012698 ,DONOR,"5,870.00",2,3/30/2025
DON013122 ,DONOR,"3,070.00",2,6/24/2025
DON013659 ,DONOR,"20,860.00",5,"2025-10-15, 2025-10-15"
DON011977 ,DONOR,"51,950.00",8,
DON015099 ,DONOR,"17,610.00",3,7/22/2026
DON012970 ,DONOR,"7,780.00",2,
DON011229 ,DONOR,"2,300.00",2,
DON014337 ,DONOR,"3,110.00",1,2/4/2026
DON011384 ,DONOR,"15,690.00",2,
DON013559 ,DONOR,"3,840.00",1,9/16/2025
DON013413 ,DONOR,"3,250.00",1,
DON013082 ,DONOR,"16,970.00",4,8/20/2025
DON014036 ,DONOR,"13,990.00",2,7/1/2026
DON014403 ,DONOR,"20,530.00",4,3/18/2026
DON014726 ,DONOR,"162,730.00",26,7/29/2026
DON014435 ,DONOR,"46,510.00",10,6/24/2026
DON013958 ,DONOR,"12,880.00",2,3/11/2026
